word,cefr,part_of_speech,definition,example,phonetic,audio_url,source_url
about,A1,preposition,You use about to say what subject something is related to.,Let's not talk about her problems.,/ə'baʊ̯t/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-about.ogg,https://en.wiktionary.org/wiki/about
above,A1,preposition,"If A is above B, A is higher than or before B, but not touching B.","In a newspaper, the title of a story is usually above the story.",/əˈbʌv/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-above.ogg,https://en.wiktionary.org/wiki/above
action,A1,noun,"An action is something that you do, or something that happens, especially with motion.","At 3 am, just west of the building, the plan was put into action.",/ˈæk.ʃən/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-action.ogg,https://en.wiktionary.org/wiki/action
activity,A1,noun,"When a person or animal has activity, it is active or lively.",The sleeping dog did not show much activity.,/ækˈtɪ.vɪ.ti/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-activity.ogg,https://en.wiktionary.org/wiki/activity
actor,A1,noun,An actor is a person (usually male) who performs as a character in a play or other theatrical work. A female performer is called either an actress or an actor.,The actor received a Tony Award.,/ˈæk.tɚ/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-actor.ogg,https://en.wiktionary.org/wiki/actor
add,A1,verb,"If you add x to y, you put x and y together.","Cook for five minutes, then add the remaining spices to the soup.",/æd/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-add.ogg,https://en.wiktionary.org/wiki/add
afraid,A1,adjective,To be afraid of someone or something means to be scared of someone or something; to have a fear of someone or something.,I'm afraid of snakes. I can't even go near them.,/əˈfreɪd/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-afraid.ogg,https://en.wiktionary.org/wiki/afraid
after,A1,preposition,Behind something in place or position.,"""B"" comes after ""A"" in the alphabet.",/ˈæf.tɚ/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-after.ogg,https://en.wiktionary.org/wiki/after
afternoon,A1,noun,Period between midday to sunset.,"I didn't finish that work in the morning, so I had to do it in the afternoon.",/ˌæftɚˈnuːn/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-afternoon.ogg,https://en.wiktionary.org/wiki/afternoon
age,A1,noun,Something's age is how long it has existed or been alive; how old something is.,The boy said he was age five.,/eɪd͡ʒ/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-age.ogg,https://en.wiktionary.org/wiki/age
agree,A1,verb,"When two people agree about something, they have the same ideas. They both think the same things are true.",We agree that it will probably rain this afternoon.,/əˈɡri/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-agree.ogg,https://en.wiktionary.org/wiki/agree
airplane,A1,noun,An airplane is a vehicle with wings that can fly.,Can we hurry? I have to catch an airplane to Miami.,/ˈɛərˌpleɪ̯n/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-airplane.ogg,https://en.wiktionary.org/wiki/airplane
airport,A1,noun,An airport is a place where airplanes land and take off.,I took a taxi to the airport for my flight to London.,/ˈeɪrpɔrt/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-airport.ogg,https://en.wiktionary.org/wiki/airport
all,A1,determiner,"All of something is 100% of it, or the entire amount.","Well, you could stay in bed all day on Friday. And I could take the kids to school.",/ɑ:l/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-all.ogg,https://en.wiktionary.org/wiki/all
all right,A1,adjective,"When something is all right, that means that it is in good condition.",My car is all right.,/ˌɔːlˈraɪt/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-alright.ogg,https://en.wiktionary.org/wiki/all_right
all right,A1,adverb,Something that went quite well.,"The soccer tournament went all right, I guess.",/ˌɔːlˈraɪt/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-alright.ogg,https://en.wiktionary.org/wiki/all_right
almost,A1,adverb,"Very nearly; not the same, but near to being the same.",I am almost ready to go. I will be ready very soon.,/ˈɔːlmoʊst/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-inlandnorth-almost.ogg,https://en.wiktionary.org/wiki/almost
already,A1,adverb,before a certain time (often now),"When we met, his first wife was already dead.",/ɔːlˈrɛdi/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-already.ogg,https://en.wiktionary.org/wiki/already
also,A1,adverb,"When one thing happens and a second thing happens in a same or similar time or way, then the second thing also happens.",We bought bread at the store. We also bought milk.,/ˈɔːlsoʊ/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-also.ogg,https://en.wiktionary.org/wiki/also
always,A1,adverb,"If something always happens, it happens at all times or every time.","For all of my life, the sun has always risen every day.",/ˈɔːl.weɪz/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-always.ogg,https://en.wiktionary.org/wiki/always
angry,A1,adjective,Upset in an aggressive way.,"He embarrassed her, so she was angry.",/ˈæŋgri/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-angry.ogg,https://en.wiktionary.org/wiki/angry
animal,A1,noun,"An animal is any living thing that can move. People are not animals, but are said to be animals, under the scientific definition. .","Dogs, elephants, and horses are all animals.",/ˈænəməl/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-animal.ogg,https://en.wiktionary.org/wiki/animal
